Timestamp,UserID,Event Name,UUID,Param/player,Param/event,Param/initialRotationAngle,Param/totalAngleTraversed,Param/proportionalForce,Param/position,Param/rotation,Param/matchTime,Param/WinnerID,Param/P1_ShotsFired,Param/P2_ShotsFired,Param/P1_MaxRotationSpeed,Param/P2_MaxRotationSpeed,Param/P1_TotalTorqueApplied,Param/P2_TotalTorqueApplied,Param/P1_AverageSpeed,Param/P2_AverageSpeed,Param/P1_ButtonPressesPerShot,Param/P2_ButtonPressesPerShot,Param/RoundDuration
2/12/2024 15:15:38,NULL,Player1Shot,a73700f1234032f40a685a20b3808355,Player1,Player1Shot,,,,(-2.34, 0.12, 0.00),(0.00, 180.00, 152.84),,,,,,,,,,,,,
2/12/2024 15:15:38,NULL,WeaponAimed,6f3bdbaa6b0befab2c9f203d650f8e0c,Player1,WeaponAimed,60,,,,,,,,,,,,,,,,,
2/12/2024 15:15:40,NULL,Player2Shot,d34a6d03dc2bffd8a7be240f57ed5e23,Player2,Player2Shot,,,,(6.88, 0.67, 0.00),(0.00, 0.00, 210.95),,,,,,,,,,,,,
2/12/2024 15:15:40,NULL,Player1Shot,77aace028002898b599efcbd98b41ff9,Player1,Player1Shot,,,,(-7.03, -2.40, 0.00),(0.00, 180.00, 172.31),,,,,,,,,,,,,
2/12/2024 15:15:41,NULL,WeaponAimed,421121e61e32a75f0dcd9fea6a164a88,Player2,WeaponAimed,60,,,,,,,,,,,,,,,,,
2/12/2024 15:15:41,NULL,WeaponAimed,421121e61e32a75f0dcd9fea6a164a88,Player1,WeaponAimed,-19.82071,,,,,,,,,,,,,,,,,
2/12/2024 15:15:41,NULL,EndTorqueApplied,acfbd9a120a5503f345e319fb0df5750,Player1,EndTorqueApplied,,40.17929,2.343792,,,,,,,,,,,,,,,
2/12/2024 15:15:41,NULL,WeaponAimed,421121e61e32a75f0dcd9fea6a164a88,Player1,WeaponAimed,-60,,,,,,,,,,,,,,,,,
2/12/2024 15:15:42,NULL,EndTorqueApplied,7d336c2071c6d2a7bdb14c4b07266f4b,Player2,EndTorqueApplied,,120,7,,,,,,,,,,,,,,,
2/12/2024 15:15:42,NULL,EndTorqueApplied,7d336c2071c6d2a7bdb14c4b07266f4b,Player1,EndTorqueApplied,,120,7,,,,,,,,,,,,,,,
2/12/2024 15:15:42,NULL,WeaponAimed,4018eeef038a0749318272e798b8ee7b,Player2,WeaponAimed,-60,,,,,,,,,,,,,,,,,
2/12/2024 15:15:43,NULL,WeaponAimed,d1f9d120eba67ef3d16bf967e7619e52,Player1,WeaponAimed,60,,,,,,,,,,,,,,,,,
